trial_number,block,n_back_level,sensory_condition,accuracy,reaction_time,participant_id,session
1,1,,,3.0,0.0,4,1
2,1,,,3.0,0.0,4,1
3,1,,,3.0,445.0,4,1
4,1,,,4.0,0.0,4,1
5,1,,,4.0,397.0,4,1
6,1,,,3.0,0.0,4,1
7,1,,,4.0,0.0,4,1
8,1,,,4.0,0.0,4,1
9,1,,,3.0,0.0,4,1
10,1,,,3.0,0.0,4,1
11,1,,,3.0,0.0,4,1
12,1,,,3.0,0.0,4,1
13,1,,,3.0,0.0,4,1
14,1,,,3.0,0.0,4,1
15,1,,,4.0,0.0,4,1
16,1,,,3.0,0.0,4,1
17,1,,,3.0,358.0,4,1
18,1,,,3.0,0.0,4,1
19,1,,,3.0,0.0,4,1
20,1,,,3.0,358.0,4,1
21,1,,,3.0,357.0,4,1
22,1,,,3.0,416.0,4,1
23,2,,,3.0,0.0,4,1
24,2,,,3.0,0.0,4,1
25,2,,,3.0,290.0,4,1
26,2,,,3.0,0.0,4,1
27,2,,,3.0,0.0,4,1
28,2,,,3.0,316.0,4,1
29,2,,,4.0,462.0,4,1
30,2,,,3.0,0.0,4,1
31,2,,,4.0,0.0,4,1
32,2,,,4.0,232.0,4,1
33,2,,,4.0,0.0,4,1
34,2,,,3.0,308.0,4,1
35,2,,,3.0,285.0,4,1
36,2,,,3.0,0.0,4,1
37,2,,,3.0,0.0,4,1
38,2,,,4.0,173.0,4,1
39,2,,,3.0,292.0,4,1
40,2,,,3.0,0.0,4,1
41,2,,,3.0,0.0,4,1
42,2,,,3.0,0.0,4,1
43,2,,,3.0,0.0,4,1
44,2,,,3.0,0.0,4,1
45,3,1.0,no_music,3.0,0.0,4,1
46,3,1.0,no_music,3.0,0.0,4,1
47,3,1.0,no_music,3.0,481.0,4,1
48,3,1.0,no_music,4.0,0.0,4,1
49,3,1.0,no_music,4.0,0.0,4,1
50,3,1.0,no_music,3.0,478.0,4,1
51,3,1.0,no_music,4.0,0.0,4,1
52,3,1.0,no_music,4.0,0.0,4,1
53,3,1.0,no_music,3.0,384.0,4,1
54,3,1.0,no_music,3.0,418.0,4,1
55,3,1.0,no_music,3.0,429.0,4,1
56,3,1.0,no_music,3.0,379.0,4,1
57,3,1.0,no_music,3.0,0.0,4,1
58,3,1.0,no_music,3.0,0.0,4,1
59,3,1.0,no_music,4.0,0.0,4,1
60,3,1.0,no_music,3.0,405.0,4,1
61,3,1.0,no_music,3.0,0.0,4,1
62,3,1.0,no_music,3.0,0.0,4,1
63,3,1.0,no_music,3.0,0.0,4,1
64,3,1.0,no_music,3.0,0.0,4,1
65,3,1.0,no_music,3.0,0.0,4,1
66,3,1.0,no_music,3.0,0.0,4,1
67,4,1.0,,3.0,0.0,4,1
68,4,1.0,,3.0,395.0,4,1
69,4,1.0,,3.0,416.0,4,1
70,4,1.0,,3.0,0.0,4,1
71,4,1.0,,3.0,0.0,4,1
72,4,1.0,,3.0,288.0,4,1
73,4,1.0,,4.0,0.0,4,1
74,4,1.0,,3.0,0.0,4,1
75,4,1.0,,4.0,0.0,4,1
76,4,1.0,,4.0,0.0,4,1
77,4,1.0,,4.0,80.0,4,1
78,4,1.0,,3.0,0.0,4,1
79,4,1.0,,3.0,0.0,4,1
80,4,1.0,,3.0,0.0,4,1
81,4,1.0,,3.0,0.0,4,1
82,4,1.0,,4.0,0.0,4,1
83,4,1.0,,3.0,0.0,4,1
84,4,1.0,,3.0,0.0,4,1
85,4,1.0,,3.0,0.0,4,1
86,4,1.0,,3.0,0.0,4,1
87,4,1.0,,3.0,0.0,4,1
88,4,1.0,,3.0,0.0,4,1
89,5,1.0,,3.0,0.0,4,1
90,5,1.0,,3.0,0.0,4,1
91,5,1.0,,3.0,360.0,4,1
92,5,1.0,,3.0,459.0,4,1
93,5,1.0,,3.0,0.0,4,1
94,5,1.0,,4.0,0.0,4,1
95,5,1.0,,3.0,0.0,4,1
96,5,1.0,,3.0,0.0,4,1
97,5,1.0,,3.0,0.0,4,1
98,5,1.0,,3.0,449.0,4,1
99,5,1.0,,3.0,0.0,4,1
100,5,1.0,,3.0,0.0,4,1
101,5,1.0,,3.0,0.0,4,1
102,5,1.0,,4.0,0.0,4,1
103,5,1.0,,3.0,0.0,4,1
104,5,1.0,,4.0,0.0,4,1
105,5,1.0,,3.0,0.0,4,1
106,5,1.0,,4.0,0.0,4,1
107,5,1.0,,4.0,0.0,4,1
108,5,1.0,,3.0,308.0,4,1
109,5,1.0,,3.0,409.0,4,1
110,5,1.0,,3.0,0.0,4,1
111,6,1.0,,3.0,0.0,4,1
112,6,1.0,,3.0,0.0,4,1
113,6,1.0,,3.0,0.0,4,1
114,6,1.0,,3.0,493.0,4,1
115,6,1.0,,3.0,0.0,4,1
116,6,1.0,,3.0,391.0,4,1
117,6,1.0,,3.0,0.0,4,1
118,6,1.0,,3.0,0.0,4,1
119,6,1.0,,4.0,440.0,4,1
120,6,1.0,,3.0,0.0,4,1
121,6,1.0,,4.0,0.0,4,1
122,6,1.0,,3.0,0.0,4,1
123,6,1.0,,4.0,0.0,4,1
124,6,1.0,,3.0,0.0,4,1
125,6,1.0,,3.0,378.0,4,1
126,6,1.0,,3.0,413.0,4,1
127,6,1.0,,3.0,0.0,4,1
128,6,1.0,,4.0,0.0,4,1
129,6,1.0,,3.0,0.0,4,1
130,6,1.0,,4.0,451.0,4,1
131,6,1.0,,3.0,0.0,4,1
132,6,1.0,,3.0,431.0,4,1
133,7,1.0,,3.0,0.0,4,1
134,7,1.0,,3.0,386.0,4,1
